path,category,loc,size_kb,exports,last_commit,author,has_tests,has_todos
"client/src/components/loading/ImageFallback.tsx",Component,174,5,"ImageFallbackProps, ImageFallback, ImagePlaceholder, SafeImage",2025-12-04,muski4real,no,no
"client/src/components/loading/LoadingDemo.tsx",Component,352,14,"LoadingDemo",2025-12-04,muski4real,no,no
"client/src/components/loading/ScriptFallback.tsx",Component,330,9,"ScriptFallbackProps, ScriptFallback, useScriptFallback",2025-12-04,muski4real,no,no
"client/src/components/loading/constants.ts",Component,189,4,"DEFAULT_LOADING_SIZE, DEFAULT_LOADING_TYPE, DEFAULT_LOADING_PRIORITY, LOADING_SIZES, LOADING_TIMEOUTS",2025-11-20,muski4real,no,no
"client/src/components/loading/core/loadingCore.ts",Component,66,2,"LoadingCore",2025-12-04,muski4real,no,no
"client/src/components/loading/hooks/index.ts",Component,13,0,"",2025-10-28,muski4real,no,no
"client/src/components/loading/index.ts",Component,149,2,"useLoading,
  useLoadingState,
  useMultiLoadingState,
  useProgressiveLoading,
  useMultiProgressiveLoading,
  useTimeoutAwareLoading,
  useMultiTimeoutAwareLoading,, Skeleton,
  CardSkeleton,
  ListSkeleton,
  FormSkeleton,
  TextSkeleton,
  AvatarSkeleton,, DEFAULT_LOADING_SIZE,
  DEFAULT_LOADING_TYPE,
  DEFAULT_LOADING_PRIORITY,
  LOADING_SIZES,
  LOADING_TIMEOUTS,
  RETRY_DELAYS,
  MAX_RETRIES,
  DEFAULT_LOADING_CONFIG,
  LOADING_MESSAGES,
  LOADING_STAGES,, LoadingError,
  LoadingTimeoutError,
  LoadingValidationError,
  LoadingConfigurationError,
  LoadingOperationFailedError,
  LoadingNetworkError,
  LoadingAssetError,
  LoadingStageError,
  LoadingErrorType,
  isLoadingError,
  isTimeoutError,
  isValidationError,
  isNetworkError,
  isAssetError,
  isStageError,, validateLoadingProgress,
  validateLoadingStage,
  validateLoadingOperation,
  validateLoadingConfig,
  validateLoadingStats,
  safeValidateLoadingProgress,
  safeValidateLoadingOperation,
  safeValidateLoadingConfig,",2025-10-28,muski4real,no,no
"client/src/components/loading/recovery.ts",Component,126,4,"RecoveryContext, RecoveryResult, createRecoveryContext, LoadingRecoveryManager, useLoadingRecovery",2025-12-04,muski4real,no,no
"client/src/components/loading/types.ts",Component,192,5,"LoadingStateProps, LoadingProgress, LoadingStage, LoadingOperation, LoadingStats",2025-10-28,muski4real,no,no
"client/src/components/mobile/InfiniteScroll.tsx",Component,268,7,"InfiniteScroll, useInfiniteScroll",2025-12-04,muski4real,no,no
"client/src/components/mobile/MobileDataVisualization.tsx",Component,435,14,"DataPoint, ChartData, MobileBarChart, MobilePieChart, MobileMetricCard",2025-12-04,muski4real,no,no
"client/src/components/mobile/MobileLayout.tsx",Component,356,10,"MobileLayout, MobileContainer, MobileSection, MobileGrid",2025-12-04,muski4real,no,no
